category,2014,2016,2018,2023
Adults (36-65),32.06666667,33.03333333,34.03333333,39.3
Older Adults (66+),28.3,26.4,26.6,29.7
Young Adults (26-35),35.8,41.0,43.5,47.4
Youth (18-25),38.9,46.6,47.8,49.7
