country,iso_code_3,year,How much people think leaders care about their opinion,Share (%) of people who identify with a political party,first_year_av,last_year_av,Political Party (first year av.),Political Party (last year av.),Political Party (change),Beliefs leaders care (change)
Peru,PER,2012,37.16124661,16.3538874,,,,,,
Peru,PER,2014,38.53095728,19.2281652,,,,,,
Peru,PER,2016,43.30789992,15.00942625,,,,,,
Peru,PER,2018,44.95250718,10.78947368,,,,,,
Peru,PER,2023,37.3634775,8.806262231,,2023,,8.806262231,declined,increased
Suriname,SUR,2010,39.24856915,45.3792141,2010,,45.3792141,,,
Suriname,SUR,2012,48.23899371,41.4084507,,,,,,
Suriname,SUR,2014,49.24952127,50.76347385,,,,,,
Suriname,SUR,2023,35.1499234,29.06436629,,2023,,29.06436629,declined,decreased
Trinidad and Tobago,TTO,2010,25.60243163,27.8548824,2010,,27.8548824,,,
Trinidad and Tobago,TTO,2012,33.28391799,32.9324875,,,,,,
Trinidad and Tobago,TTO,2014,31.46849179,30.70320899,,,,,,
Trinidad and Tobago,TTO,2023,33.50721943,20.43824573,,2023,,20.43824573,declined,increased
Uruguay,URY,2010,59.73585788,66.1971831,2010,,66.1971831,,,
Uruguay,URY,2012,47.86941581,53.44021376,,,,,,
Uruguay,URY,2014,48.65627823,60,,,,,,
Uruguay,URY,2016,48.81828317,44.42970822,,,,,,
Uruguay,URY,2018,44.89230113,47.75064267,,,,,,
Uruguay,URY,2023,48.33776596,44.88711819,,2023,,44.88711819,declined,decreased
